Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
attClassMedicMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]medic class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassMedicMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]medic class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassMedicMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]medic class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclassrangermaster,progression,Attribute,,,Ranger Class,
attClassRangerMasterName,progression,Attribute,,,[FFB400]Class: Ranger[-],
attClassRangerMasterDesc,progression,Attribute,,,"The [FFB400]Ranger Class[-] specializes in handguns, rifles and blade weapons.  As well as in medium armour.  [FFB400]Exclusive[-] access to recipes for crafting handguns, rifles, blades and medium armours.",
attClassRangerMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]ranger class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassRangerMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]ranger class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassRangerMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]ranger class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasssoldiermaster,progression,Attribute,,,Soldier Class,
attClassSoldierMasterName,progression,Attribute,,,[FFB400]Class: Soldier[-],
attClassSoldierMasterDesc,progression,Attribute,,,"The [FFB400]Soldier Class[-] specializes in shotguns, machine guns and blunt weapons.  As well as in heavy armour.  [FFB400]Exclusive[-] access to recipes for crafting shotguns, machine guns, clubs, sledgehammers and heavy armours.",
attClassSoldierMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]soldier class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassSoldierMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]soldier class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassSoldierMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]soldier class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasssurvivalistmaster,progression,Attribute,,,Survivalist Class,
attClassSurvivalistMasterName,progression,Attribute,,,[FFB400]Class: Survivalist[-],
attClassSurvivalistMasterDesc,progression,Attribute,,,"The [FFB400]Survivalist Class[-] specializes in cooking, farming and having an iron gut.  [FFB400]Exclusive[-] access to recipes for crafting bird's nest, farm plots, hoes, fertilized farming, fishing and cooking appliances.",
attClassSurvivalistMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]survivalist class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassSurvivalistMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]survivalist class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassSurvivalistMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]survivalist class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasstechnicianmaster,progression,Attribute,,,Technician Class,
attClassTechnicianMasterName,progression,Attribute,,,[FFB400]Class: Technician[-],
attClassTechnicianMasterDesc,progression,Attribute,,,"The [FFB400]Technician Class[-] specializes in salvaging the wasteland and has expertise in robotic gear.  [FFB400]Exclusive[-] access to recipes for crafting salvaging tools, mechanical items, solar cells, robotic weaponry and recycler workstation.",
attClassTechnicianMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]technician class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassTechnicianMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]technician class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassTechnicianMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]technician class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasstradesmanmaster,progression,Attribute,,,Tradesman Class,
attClassTradesmanMasterName,progression,Attribute,,,[FFB400]Class: Tradesman[-],
attClassTradesmanMasterDesc,progression,Attribute,,,"The [FFB400]Tradesman Class[-] specializes in mining tools and mining blocks gaining the most resources.  As well as expertise in lockpicking and cardio.  [FFB400]Exclusive[-] access to recipes for crafting harvesting tools and power tools.",
attClassTradesmanMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]tradesman class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassTradesmanMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]tradesman class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassTradesmanMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]tradesman class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
skillBasicBenefits1Name,progression,Attribute,,,Basic Benefits:,
skillBasicBenefits2Name,progression,Attribute,,,Magazine Loot Bonus Mods:,
skillAdvBenefits1Name,progression,Attribute,,,Advanced Benefits:,
skillBarter1Name,progression,Attribute,,,Dealer:,
skillBarter2Name,progression,Attribute,,,Deads:,
skillBarter3Name,progression,Attribute,,,Crafting:,
skillBuilder1Name,progression,Attribute,,,Crafting Expertise:,
skillBuilder2Name,progression,Attribute,,,Construction:,
skillBuilder3Name,progression,Attribute,,,Crafting:,
skillCovert1Name,progression,Attribute,,,Archery:,
skillCovert2Name,progression,Attribute,,,Stealth:,
skillCovert3Name,progression,Attribute,,,Athletics:,
skillCovert4Name,progression,Attribute,,,Expertise:,
skillCovert5Name,progression,Attribute,,,Crafting:,
skillFighter1Name,progression,Attribute,,,Fist Fighter:,
skillFighter2Name,progression,Attribute,,,Spear Fighter:,
skillFighter3Name,progression,Attribute,,,Domolitions:,
skillFighter4Name,progression,Attribute,,,Crafting:,
skillHunter1Name,progression,Attribute,,,Instincts:,
skillHunter2Name,progression,Attribute,,,Armour:,
skillHunter3Name,progression,Attribute,,,Crafting:,
skillLooter1Name,progression,Attribute,,,Looting:,
skillLooter2Name,progression,Attribute,,,Expertise:,
skillLooter3Name,progression,Attribute,,,Crafting:,
skillMedic1Name,progression,Attribute,,,Medical:,
skillMedic2Name,progression,Attribute,,,Expertise:,
skillMedic3Name,progression,Attribute,,,Crafting:,
skillRanger1Name,progression,Attribute,,,Handguns:,
skillRanger2Name,progression,Attribute,,,Rifles:,
skillRanger3Name,progression,Attribute,,,Blades:,
skillRanger4Name,progression,Attribute,,,Armour:,
skillRanger5Name,progression,Attribute,,,Crafting:,
skillSoldier1Name,progression,Attribute,,,Shotguns:,
skillSoldier2Name,progression,Attribute,,,Machine Guns:,
skillSoldier3Name,progression,Attribute,,,Clubs:,
skillSoldier4Name,progression,Attribute,,,Armour:,
skillSoldier5Name,progression,Attribute,,,Crafting:,
skillSurvivalist1Name,progression,Attribute,,,Survival:,
skillSurvivalist2Name,progression,Attribute,,,Crafting:,
skillTechnician1Name,progression,Attribute,,,Engineering:,
skillTechnician2Name,progression,Attribute,,,Operator:,
skillTechnician3Name,progression,Attribute,,,Crafting:,
skillTradesman1Name,progression,Attribute,,,Mining Tools:,
skillTradesman2Name,progression,Attribute,,,Power Tools:,
skillTradesman3Name,progression,Attribute,,,Trade Skills:,
skillTradesman4Name,progression,Attribute,,,Crafting:,

skillCarryingCapacityName,progression,Skill,,,Smart Packaging,
skillCarryingCapacityDesc,progression,Skill,,,Reading each volume will grant you the ability to carry even more items without becoming encumbered. Reading the full set will grant you 5% boost to walking and runnning speed.,

perkBasicTrexName,progression,Perk,,,Basic T-Rex,
perkBasicTrexDesc,progression,Perk,,,"Purchase this perk to give yourself some extra stamina.",
perkBasicTrexRank1Desc,progression,Perk,,,Basic Stamina,
perkBasicTrexRank1LongDesc,progression,Perk,,,"Gain 10 more points of stamina.",
perkBasicRunnerName,progression,Perk,,,Basic Runner,
perkBasicRunnerDesc,progression,Perk,,,"Purchase this perk to give yourself some extra running speed.",
perkBasicRunnerRank1Desc,progression,Perk,,,Basic Running,
perkBasicRunnerRank1LongDesc,progression,Perk,,,"Gain 5% more running speed.",
perkBasicCardioName,progression,Perk,,,Basic Cardio,
perkBasicCardioDesc,progression,Perk,,,"Purchase this perk to give yourself some faster stamina recovery.",
perkBasicCardioRank1Desc,progression,Perk,,,Basic Stamina Recovery,
perkBasicCardioRank1LongDesc,progression,Perk,,,"Recover stamina 5% faster.",
perkBasicHealthName,progression,Perk,,,Basic Health,
perkBasicHealthDesc,progression,Perk,,,"Purchase this perk to give yourself a little more HP.",
perkBasicHealthRank1Desc,progression,Perk,,,Basic Max Health,
perkBasicHealthRank1LongDesc,progression,Perk,,,"Gain 10 more points of health.",
perkBasicToleranceName,progression,Perk,,,Basic Tolerance,
perkBasicToleranceDesc,progression,Perk,,,"Purchase this perk to give yourself some pain tolerance.",
perkBasicToleranceRank1Desc,progression,Perk,,,Basic Reduced Health Loss,
perkBasicToleranceRank1LongDesc,progression,Perk,,,"Reduce health loss by 5%.",
perkBasicGutName,progression,Perk,,,Basic Gut,
perkBasicGutDesc,progression,Perk,,,"Purchase this perk to reduce food and water loss.",
perkBasicGutRank1Desc,progression,Perk,,,Basic Food and Water Reduced Loss,
perkBasicGutRank1LongDesc,progression,Perk,,,"Reduce food and water loss by 5%.",
perkBasicMinerName,progression,Perk,,,Basic Miner 69er,
perkBasicMinerDesc,progression,Perk,,,"Purchase this perk to increase block damage with mining tools.",
perkBasicMinerRank1Desc,progression,Perk,,,Basic Miner Block Damage,
perkBasicMinerRank1LongDesc,progression,Perk,,,"Increase block damage by 10% when using mining tools.",
perkBasicPackName,progression,Perk,,,Basic Pack,
perkBasicPackDesc,progression,Perk,,,"Purchase this perk to give yourself 6 more slots in your inventory.",
perkBasicPackRank1Desc,progression,Perk,,,Basic Inventory,
perkBasicPackRank1LongDesc,progression,Perk,,,"Unlocks 6 slots in your inventory.",
perkBasicExpName,progression,Perk,,,Basic Experience,
perkBasicExpDesc,progression,Perk,,,"Purchase this perk to gain more player experience.",
perkBasicExpRank1Desc,progression,Perk,,,Basic Experience Gain,
perkBasicExpRank1LongDesc,progression,Perk,,,"Gain 5% more player experience.",
perkMotherLode2Name,progression,Perk,,,Mother Lode 2.0,
perkMotherLode2Desc,progression,Perk,,,"Harvest way more resources from ore, stone, terrain and trees with the base mother lode perk and miner 69'er maxed out.",
perkMotherLode2Rank1Desc,progression,Perk,,,Mother Lode 2.0 Rank 1,
perkMotherLode2Rank1LongDesc,progression,Perk,,,"Increase tool damage by 60% and block damage by 160%.  Harvest 120% more from ore, stone, terrain blocks and trees with any axe, pick, chainsaw or auger.",
perkMotherLode2Rank2Desc,progression,Perk,,,Mother Lode 2.0 Rank 2,
perkMotherLode2Rank2LongDesc,progression,Perk,,,"Increase tool damage by 70% and block damage by 170%.  Harvest 140% more from ore, stone, terrain blocks and trees with any axe, pick, chainsaw or auger.",
perkMotherLode2Rank3Desc,progression,Perk,,,Mother Lode 2.0 Rank 3,
perkMotherLode2Rank3LongDesc,progression,Perk,,,"Increase tool damage by 80% and block damage by 180%.  Harvest 160% more from ore, stone, terrain blocks and trees with any axe, pick, chainsaw or auger.",
perkMotherLode2Rank4Desc,progression,Perk,,,Mother Lode 2.0 Rank 4,
perkMotherLode2Rank4LongDesc,progression,Perk,,,"Increase tool damage by 90% and block damage by 190%.  Harvest 180% more from ore, stone, terrain blocks and trees with any axe, pick, chainsaw or auger.",
perkMotherLode2Rank5Desc,progression,Perk,,,Mother Lode 2.0 Rank 5,
perkMotherLode2Rank5LongDesc,progression,Perk,,,"Increase tool damage by 100% and block damage by 200%.  Harvest 200% more from ore, stone, terrain blocks and trees with any axe, pick, chainsaw or auger.",
perkSalvageOperations2Name,progression,Perk,,,Salvage Operations 2.0,
perkSalvageOperations2Desc,progression,Perk,,,"Salvage items for plenty more resources using a wrench, ratchet or impact driver.  Requires the base salvage operations to be maxed before purchasing.",
perkSalvageOperations2Rank1Desc,progression,Perk,,,Salvage Ops 2.0 Rank 1,
perkSalvageOperations2Rank1LongDesc,progression,Perk,,,"Deal 60% more damage, harvest 110% faster and gains 120% more resources with a wrench, ratchet or impact driver.",
perkSalvageOperations2Rank2Desc,progression,Perk,,,Salvage Ops 2.0 Rank 2,
perkSalvageOperations2Rank2LongDesc,progression,Perk,,,"Deal 70% more damage, harvest 120% faster and gains 140% more resources with a wrench, ratchet or impact driver.",
perkSalvageOperations2Rank3Desc,progression,Perk,,,Salvage Ops 2.0 Rank 3,
perkSalvageOperations2Rank3LongDesc,progression,Perk,,,"Deal 80% more damage, harvest 130% faster and gains 160% more resources with a wrench, ratchet or impact driver.",
perkSalvageOperations2Rank4Desc,progression,Perk,,,Salvage Ops 2.0 Rank 4,
perkSalvageOperations2Rank4LongDesc,progression,Perk,,,"Deal 90% more damage, harvest 140% faster and gains 180% more resources with a wrench, ratchet or impact driver.",
perkSalvageOperations2Rank5Desc,progression,Perk,,,Salvage Ops 2.0 Rank 5,
perkSalvageOperations2Rank5LongDesc,progression,Perk,,,"Deal 100% more damage, harvest 150% faster and gains 200% more resources with a wrench, ratchet or impact driver.",
perkBonusExpName,progression,Perk,,,Bonus Experience,
perkBonusExpDesc,progression,Perk,,,Gain bonus experience from killing things when any weapon is equipped.,
perkBonusExpRank1Desc,progression,Perk,,,Bonus Experience Rank 1,
perkBonusExpRank1LongDesc,progression,Perk,,,Gain 5% bonus experience per kill with any weapon equipped.,
perkBonusExpRank2Desc,progression,Perk,,,Bonus Experience Rank 2,
perkBonusExpRank2LongDesc,progression,Perk,,,Gain 10% bonus experience per kill with any weapon equipped.,
perkBonusExpRank3Desc,progression,Perk,,,Bonus Experience Rank 3,
perkBonusExpRank3LongDesc,progression,Perk,,,Gain 15% bonus experience per kill with any weapon equipped.,
perkBonusExpRank4Desc,progression,Perk,,,Bonus Experience Rank 4,
perkBonusExpRank4LongDesc,progression,Perk,,,Gain 20% bonus experience per kill with any weapon equipped.,
perkBonusExpRank5Desc,progression,Perk,,,Bonus Experience Rank 5,
perkBonusExpRank5LongDesc,progression,Perk,,,Gain 25% bonus experience per kill with any weapon equipped.,
perkBoomHeadshotName,progression,Perk,,,Boom! Headshot,
perkBoomHeadshotDesc,progression,Perk,,,"Gain bonus damage when aiming at the head, as well as bonus chance to pop them.",
perkBoomHeadshotRank1Desc,progression,Perk,,,Boom! Headshot Rank 1,
perkBoomHeadshotRank1LongDesc,progression,Perk,,,Deal 15% more damage for headshots and 10% higher chance to dismember.,
perkBoomHeadshotRank2Desc,progression,Perk,,,Boom! Headshot Rank 2,
perkBoomHeadshotRank2LongDesc,progression,Perk,,,Deal 30% more damage for headshots and 10% higher chance to dismember.,
perkBoomHeadshotRank3Desc,progression,Perk,,,Boom! Headshot Rank 3,
perkBoomHeadshotRank3LongDesc,progression,Perk,,,Deal 45% more damage for headshots and 20% higher chance to dismember.,
perkBoomHeadshotRank4Desc,progression,Perk,,,Boom! Headshot Rank 4,
perkBoomHeadshotRank4LongDesc,progression,Perk,,,Deal 60% more damage for headshots and 20% higher chance to dismember.,
perkBoomHeadshotRank5Desc,progression,Perk,,,Boom! Headshot Rank 5,
perkBoomHeadshotRank5LongDesc,progression,Perk,,,Deal 75% more damage for headshots and 40% higher chance to dismember.,
perkLockPicking2Name,progression,Perk,,,Lock Picking 2.0,
perkLockPicking2Desc,progression,Perk,,,Learn to pick locks even faster with even less chance to break a pick.,
perkLockPicking2Rank1Desc,progression,Perk,,,Lock Picking 2.0 Rank 1,
perkLockPicking2Rank1LongDesc,progression,Perk,,,You have 40% lower chance to break lockpicks.,
perkLockPicking2Rank2Desc,progression,Perk,,,Lock Picking 2.0 Rank 2,
perkLockPicking2Rank2LongDesc,progression,Perk,,,You have 50% lower chance to break lockpicks.,
perkAdvancedBarterName,progression,Perk,,,Advanced Barter,
perkAdvancedBarterDesc,progression,Perk,,,"Specialize in convincing area traders to give you a way better deal and open up their secret stashes of the really, really good stuff.",
perkAdvancedBarterRank1Desc,progression,Perk,,,Advanced Barter Rank 1,
perkAdvancedBarterRank1LongDesc,progression,Perk,,,Get an additional 5% better deal buying and selling with traders.,
perkAdvancedBarterRank2Desc,progression,Perk,,,Advanced Barter Rank 2,
perkAdvancedBarterRank2LongDesc,progression,Perk,,,Get an additional 10% better deal buying and selling with traders.,
