Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
npcSoldierWKnife,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWAxe,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWBat,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWMachete,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWSMG,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWM60,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWDPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWAK47,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWTRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWSRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWPShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWAShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWRocketL,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGEmptyHand,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGClub,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGKnife,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGAxe,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGBat,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGMachete,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGSMG,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGM60,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGDPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGAK47,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGTRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGSRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGPShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGAShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierGRocketL,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOEmptyHand,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOClub,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOKnife,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOAxe,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOBat,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOMachete,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOSMG,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOM60,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierODPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOAK47,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOTRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOSRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOPShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierOAShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierORocketL,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,




